,,Año 2004,,,,Año 2005,,,,Año 2006,,,,Año 2007,,,,Año 2008,,,,Año 2009,,,,Año 2010,,,,Año 2011,,,,Año 2012,,,,Año 2013,,,,Año 2014,,,,Año 2015,,,,Año 2016,,,,Año 2017,,,,Año 2018,,,,Año 2019,,,,Año 2020,,,,Año 2021,,,,Año 2022,,,Variación  Trimestral,Variación  Interanual
,, (trimestre),,,, (trimestre),,,, (trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,
,,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,,
,Vizcaya,247.1,204.23,174.16,235.18,200.77,286.84,263.87,315.65,228.44,227.31,249.93,206.34,205.77,259.71,217.59,225.14,263.01,220.48,n.s.,254.13,232.1,228.3,n.s.,225.96,195.22,289.21,311.38,n.s.,118.63,n.s.,351.61,n.s.,275.5,n.s.,n.s.,190.77,n.s.,132.06,n.s.,215.1,n.s.,.,65.16,150.23,n.s.,n.s.,186.19,215.43,n.s.,279.46,.,n.s.,53.66,226.03,n.s.,162.88,n.s.,n.s.,n.s.,n.s.,220.1,n.s.,n.s.,n.s.,179.63,n.s.,n.s.,178.1,183.61,243.53,298.78,310.88,297.58,2.11,n.s.,.,.
,Rioja (La),n.s.,282.36,n.s.,n.s.,232.86,262.72,303.19,n.s.,299.21,270.16,251.63,224.18,318.6,316.3,261.25,230.02,238.05,254.88,224.82,262.31,.,n.s.,245.53,n.s.,325.94,191.37,234.85,.,n.s.,172.03,n.s.,n.s.,n.s.,226.57,n.s.,n.s.,n.s.,n.s.,.,292.94,.,179.32,191.34,70.26,104.58,n.s.,n.s.,n.s.,n.s.,n.s.,115.03,116.84,n.s.,n.s,n.s.,129.58,154.62,131.99,n.s.,n.s.,n.s.,n.s.,n.s.,168.44,n.s.,n.s.,146.27,171.65,93.09,69.49,n.s.,135.55,102.67,222.06,208.42,-6.1,.
,Ceuta y Melilla,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,,.,.,.,,.,.,.,.,.,.,.,n.s.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
