TERRITORIO Y MEDIO AMBIENTE. TERRITORIO. SECCIONADO CENSAL. TABLAS DE SECCION. TABLAS CON LITERAL DE DISTRITO Y BARRIO,Unnamed: 1,Unnamed: 2
,,
1. División administrativa vigente desde 1 de junio de 2022,,
,,Total de Secciones
Distrito/Barrio,Secciones censales,en el Distrito
,,
  16.6 Valdefuentes,"De 91 a 93, 96, 99,106 a 112, 114 a 120 y 122 a 134",
,,
17. VILLAVERDE,,107
"  17.1 Villaverde Alto, Casco Histórico de Villaverde","De 2 a 4, 6 a 29, 98 a 100, 106, 109 y 113",
  17.2 San Cristóbal,"De 31 a 33, 35 a 39 y 41 a 43",
  17.3 Butarque,"De 45 a 47, 101, 107, 110 a 111, 114 a 115 y 117",
  17.4 Los Rosales,"De 48 a 55, 57 a 66, 96 a 97, 103 a 105, 108, 112 y 116",
  17.5 Ángeles,"De 68 a 76, 78 a 80, 82 a 87, 89 a 95, 102 y 118",
,,
18. VILLA DE VALLECAS,,72
  18.1 Casco Histórico de Vallecas,"De 2 a 25, 42 a 43, 45 y 46",
  18.2 Santa Eugenia,"De 26 a 41, 44 y 48",
  18.3 Ensanche de Vallecas,47 y 49 a 73,
,,
19. VICALVARO,,51
  19.1 Casco Histórico de Vicálvaro,"De 1 a 9, 11 a 12, 14 a 16, 18 a 29 y 32",
  19.2 Valdebernardo,"De 33 a 39, 43 a 44 y 50",
  19.3 Valderrivas,"De 40 a 42, 45 a 49 y 51",
  19.4 El Cañaveral,52 a 56,
,,
20. SAN BLAS . CANILLEJAS,,112
  20.1 Simancas,"De 1 a 3, 6 a 13, 15 a 18, 20, 100, 118 a 119, 122 y 125",
  20.2 Hellín,De 21 a 23 y 25 a 29,
  20.3 Amposta,De 31 a 39 ,
  20.4 Arcos,"De 40 a 44, 46 a 51, 53, 55 a 56, 58 a 59, 109, 111 a 112 y 127",
  20.5 Rosas,"De 62 a 67, 102 a 104, 106 a 107, 110, 113 a 115, 117 y 128",
  20.6 Rejas,"De 68 a 71, 116, 120 a 121, 123 y 126",
  20.7 Canillejas,"De 72 a 80, 82 a 83, 85 a 88, 90 a 93 y 101",
  20.8 El Salvador,"De 95 a 99, 105, 108 y 124",
,,
21. BARAJAS,,32
  21.1 Alameda de Osuna,De 1 a 14,
  21.2 Aeropuerto,15 ,
  21.3 Casco Histórico de Barajas,De 17 a 21,
  21.4 Timón,"De 22 a 23, 26, 28, 30 a 31 y 33 a 34",
  21.5 Corralejos,"25, 27, 29 y 32",
,,
FUENTE: Subdirección General de Estadística. Elaboración propia.,,
